Symbol,Date,Open,High,Low,Close,Volume,Open Interest
MWK22,2020-12-14,602.75,602.75,602.75,602.75,0,2
MWK22,2020-12-11,610.5,610.5,610.5,610.5,0,2
MWK22,2020-12-10,605.75,605.75,605.75,605.75,0,2
MWK22,2020-12-09,598.75,598.75,598.75,598.75,0,2
MWK22,2020-12-08,589.75,589.75,589.75,589.75,0,2
MWK22,2020-12-07,591.75,591.75,591.75,591.75,0,2
MWK22,2020-12-04,591.5,591.5,591.5,591.5,0,2
MWK22,2020-12-03,594.5,594.5,594.5,594.5,0,2
MWK22,2020-12-02,595.5,595.5,595.5,595.5,0,2
MWK22,2020-12-01,595.5,595.5,595.5,595.5,2,2
MWK22,2020-11-30,603,603,603,603,0,4
MWK22,2020-11-27,608.5,608.5,608.5,608.5,0,4
MWK22,2020-11-25,607.5,607.5,607.5,607.5,0,4
MWK22,2020-11-24,609.5,609.5,609.5,609.5,0,4
MWK22,2020-11-23,600.75,600.75,600.75,600.75,0,4
MWK22,2020-11-20,600,600,600,600,0,4
MWK22,2020-11-19,600,600,600,600,0,4
MWK22,2020-11-18,602.25,602.25,602.25,602.25,0,4
MWK22,2020-11-17,601,601,601,601,0,4
MWK22,2020-11-16,602.5,602.5,602.5,602.5,0,4
MWK22,2020-11-13,599,599,599,599,0,4
MWK22,2020-11-12,598.25,598.25,598.25,598.25,0,4
MWK22,2020-11-11,604,604,604,604,0,4
MWK22,2020-11-10,602.25,602.25,602.25,602.25,0,4
MWK22,2020-11-09,595,595,595,595,0,4
MWK22,2020-11-06,595.75,595.75,595.75,595.75,0,4
MWK22,2020-11-05,597,597,597,597,0,4
MWK22,2020-11-04,592.75,592.75,588,592.75,0,4
MWK22,2020-11-03,589,589,589,589,0,4
MWK22,2020-11-02,588,588,588,588,0,4
MWK22,2020-10-30,587,587,587,587,0,4
MWK22,2020-10-29,587,587,587,587,0,4
MWK22,2020-10-28,589,589,589,589,0,0
MWK22,2020-10-27,592,592,592,592,0,4
MWK22,2020-10-26,592,592,592,592,0,4
MWK22,2020-10-23,594.75,594.75,594.75,594.75,0,4
MWK22,2020-10-22,594,594,594,594,0,4
MWK22,2020-10-21,597,597,597,597,0,4
MWK22,2020-10-20,597,597,597,597,0,4
MWK22,2020-10-19,597,597,597,597,0,4
MWK22,2020-10-16,597.75,597.75,597,597,4,4
MWK22,2020-10-15,599,599,599,599,0,2
MWK22,2020-10-14,597.75,597.75,596,596,4,2
MWK22,2020-10-13,593,593,593,593,0,0
MWK22,2020-10-12,593,593,593,593,0,0
MWK22,2020-10-09,593,593,593,593,0,0
MWK22,2020-10-08,591,591,591,591,0,0
MWK22,2020-10-07,593,593,593,593,0,0
MWK22,2020-10-06,591,591,591,591,0,0
MWK22,2020-10-05,591,591,591,591,0,0
MWK22,2020-10-02,589,589,589,589,0,0
MWK22,2020-10-01,589,589,589,589,0,0
MWK22,2020-09-30,590,590,590,590,0,0
MWK22,2020-09-29,579,579,579,579,0,0
MWK22,2020-09-28,579,579,579,579,0,0
MWK22,2020-09-25,579,579,579,579,0,0
MWK22,2020-09-24,580,580,580,580,0,0
MWK22,2020-09-23,576,576,576,576,0,0
MWK22,2020-09-22,577,577,577,577,0,0
MWK22,2020-09-21,575,575,575,575,1,0
MWK22,2020-09-18,575,575,574.5,574.5,1,1
