p_adj,unit,product,geo\time	2020 	2019 	2018 	2017 	2016 	2015 
NI,I15,203110,EE	: 	86.64 	84.30 	83.72 	83.84 	100.00 
NI,I15,203110,EL	: 	92.55 	92.23 	93.24 	97.97 	100.00 
NI,I15,203110,ES	: 	90.10 	85.60 	83.10 	87.10 	100.00 
NI,I15,203110,EU27_2020	: 	95.09 p	89.68 	88.96 	88.18 	100.00 
NI,I15,203110,EU28	: 	95.74 p	90.59 	88.74 	87.12 	100.00 
NI,I15,203110,FI	: 	96.71 	92.55 	88.37 	82.91 	100.00 
NI,I15,203110,FR	: 	91.02 	86.90 	82.13 	83.27 	100.00 
NI,I15,203110,HR	: 	: c	: c	: c	: c	: c
NI,I15,203110,HU	: 	88.70 	81.50 	79.30 	84.70 	100.00 
NI,I15,203110,IE	: 	88.42 	83.86 	77.46 	81.79 	100.00 
NI,I15,203110,IT	: 	93.50 	90.60 	89.40 	89.10 	100.00 
NI,I15,203110,LT	: 	83.02 	79.71 	79.05 	77.48 	100.00 
NI,I15,203110,LU	: 	86.83 	79.82 	77.06 	75.74 	100.00 
NI,I15,203110,LV	: 	96.16 	92.41 	89.06 	93.79 	100.00 
NI,I15,203110,MT	: 	90.35 	90.80 	90.80 	91.62 	100.00 
NI,I15,203110,NL	: 	86.30 	82.20 	76.70 	77.20 	100.00 
NI,I15,203110,PL	: 	100.86 p	92.75 	92.04 	93.30 	100.00 
NI,I15,203110,PT	: 	111.66 	111.15 	106.58 	101.26 	100.00 
NI,I15,203110,RO	: 	114.28 	96.60 	160.92 	95.61 	100.00 
NI,I15,203110,SE	: 	99.40 	94.60 	86.70 	83.80 	100.00 
NI,I15,203110,SI	: 	84.15 	79.23 	73.23 	83.40 	100.00 
NI,I15,203110,SK	: 	85.00 	76.85 	77.37 	87.80 	100.00 
NI,I15,203110,UK	: 	102.01 	99.40 	86.63 	76.82 	100.00 
NI,I15,203120,AT	: 	87.10 	82.60 	81.90 	93.90 	100.00 
NI,I15,203120,BE	: 	78.95 	83.39 	74.80 	79.24 	100.00 
NI,I15,203120,BG	: 	98.10 	85.70 	75.10 	84.90 	100.00 
NI,I15,203120,CY	: 	83.70 	79.70 	90.24 	114.31 	100.00 
NI,I15,203120,CZ	: 	96.10 	96.20 	97.30 	100.00 	100.00 
NI,I15,203120,DK	: 	106.34 	103.45 	103.45 	103.45 	100.00 
NI,I15,203120,EL	: 	95.55 	94.63 	96.22 	101.27 	100.00 
NI,I15,203120,ES	: 	97.30 	95.10 	94.60 	98.30 	100.00 
NI,I15,203120,EU27_2020	: 	100.85 p	93.11 	107.63 	94.03 	100.00 
NI,I15,203120,EU28	: 	101.14 p	93.96 	106.31 	93.69 	100.00 
NI,I15,203120,FR	: 	93.34 	90.79 	85.43 	91.21 	100.00 
NI,I15,203120,HU	: 	106.20 	99.60 	102.20 	96.80 	100.00 
NI,I15,203120,IE	: 	: c	: c	: c	: c	: c
NI,I15,203120,IT	: 	98.80 	95.20 	92.90 	97.40 	100.00 
NI,I15,203120,LU	: 	104.81 	95.58 	85.62 	97.40 	100.00 
NI,I15,203120,LV	: 	96.16 	92.41 	89.06 	93.79 	100.00 
NI,I15,203120,NL	: 	101.10 	89.80 	85.20 	91.50 	100.00 
NI,I15,203120,PL	: 	103.75 p	96.56 	97.13 	100.39 	100.00 
NI,I15,203120,PT	: 	104.83 	101.92 	100.20 	102.48 	100.00 
NI,I15,203120,RO	: 	114.28 	96.60 	160.92 	95.61 	100.00 
NI,I15,203120,SI	: 	97.53 	93.27 	89.90 	92.50 	100.00 
NI,I15,203120,SK	: 	89.00 	84.33 	81.93 	88.49 	100.00 
NI,I15,203120,UK	: 	104.68 	104.45 	90.23 	89.49 	100.00 
NI,I15,203130,AT	: 	94.20 	90.20 	88.00 	91.90 	100.00 
NI,I15,203130,BE	: 	91.15 	90.21 	89.67 	90.36 	100.00 
NI,I15,203130,BG	: 	51.70 	56.70 	80.00 	78.00 	100.00 
NI,I15,203130,CY	: 	110.29 	112.83 	119.37 	121.87 	100.00 
NI,I15,203130,CZ	: 	86.60 	87.30 	86.40 	92.20 	100.00 
NI,I15,203130,DK	: 	96.59 	92.14 	92.87 	98.54 	100.00 
NI,I15,203130,EL	: 	102.23 	102.85 	101.94 	103.09 	100.00 
NI,I15,203130,ES	: 	97.00 	94.10 	97.00 	98.60 	100.00 
NI,I15,203130,EU27_2020	: 	98.81 p	93.26 	101.02 	95.47 	100.00 
NI,I15,203130,EU28	: 	100.11 p	94.68 	100.59 	94.61 	100.00 
NI,I15,203130,FR	: 	95.92 	92.29 	89.30 	93.39 	100.00 
NI,I15,203130,HU	: 	104.10 	95.50 	90.90 	93.10 	100.00 
NI,I15,203130,IE	: 	: c	: c	: c	: c	: c
NI,I15,203130,IT	: 	100.30 	96.20 	94.00 	96.30 	100.00 
NI,I15,203130,LT	: 	98.69 	90.32 	93.06 	97.21 	100.00 
NI,I15,203130,LU	: 	100.73 	93.40 	94.37 	100.28 	100.00 
NI,I15,203130,LV	: 	96.16 	92.41 	89.06 	93.79 	100.00 
NI,I15,203130,NL	: 	94.60 	88.40 	85.60 	89.30 	100.00 
NI,I15,203130,PL	: 	100.99 p	96.66 	97.05 	100.54 	100.00 
NI,I15,203130,PT	: 	108.44 	101.20 	101.20 	99.67 	100.00 
NI,I15,203130,RO	: 	114.28 	96.60 	160.92 	95.61 	100.00 
NI,I15,203130,SK	: 	98.50 	92.53 	100.32 	99.60 	100.00 
NI,I15,203130,UK	: 	108.60 	103.91 	97.78 	88.96 	100.00 
