# Trading Date,Product Name,Product Symbol,Delivery Period,Delivery Start,Delivery End,Contract Volume,Open Price,High Price,Low Price,Last Price,Settlement Price,Change,Exchange Volume MWh,Exchange Traded Contracts,TradeReg Volume MWh,TradeReg Traded Contracts
"2021-07-16","F PXE RS BL Q04-22","FVBQ Q422","202212","2022-10-01","2022-12-31",2209,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL CAL-22","FVPY 2022","202212","2022-01-03","2022-12-30",3120,,,,,88.37,0.51,,,,
"2021-07-16","F PXE RS PL CAL-23","FVPY 2023","202312","2023-01-02","2023-12-29",3120,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL CAL-24","FVPY 2024","202412","2024-01-01","2024-12-31",3144,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL CAL-25","FVPY 2025","202512","2025-01-01","2025-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL CAL-26","FVPY 2026","202612","2026-01-01","2026-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL CAL-27","FVPY 2027","202712","2027-01-01","2027-12-31",3132,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL M01-22","FVPM Jan22","202201","2022-01-03","2022-01-31",252,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL M07-21","FVPM Jul21","202107","2021-07-01","2021-07-30",264,,,,,101.73,-0.24,,,,
"2021-07-16","F PXE RS PL M08-21","FVPM Aug21","202108","2021-08-02","2021-08-31",264,,,,,104.94,0.58,,,,
"2021-07-16","F PXE RS PL M09-21","FVPM Sep21","202109","2021-09-01","2021-09-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL M10-21","FVPM Oct21","202110","2021-10-01","2021-10-29",252,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL M11-21","FVPM Nov21","202111","2021-11-01","2021-11-30",264,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL M12-21","FVPM Dec21","202112","2021-12-01","2021-12-31",276,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q01-22","FVPQ Q122","202203","2022-01-03","2022-03-31",768,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q01-23","FVPQ Q123","202303","2023-01-02","2023-03-31",780,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q02-22","FVPQ Q222","202206","2022-04-01","2022-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q02-23","FVPQ Q223","202306","2023-04-03","2023-06-30",780,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q03-22","FVPQ Q322","202209","2022-07-01","2022-09-30",792,,,,,,0.00,,,,
"2021-07-16","F PXE RS PL Q04-21","FVPQ Q421","202112","2021-10-01","2021-12-31",792,,,,,112.53,0.79,,,,
"2021-07-16","F PXE RS PL Q04-22","FVPQ Q422","202212","2022-10-03","2022-12-30",780,,,,,,0.00,,,,
