sizehatch,typ_rear,incubat,geo\time	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 	1974 	1973 
100001-200000,SHEN,HAT,PT	0.00 	0.00 	0.00 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	0.00 	2.00 	3 	: 	: 	3 	3 	3 	: 	1 	1 	2 	3 	3 	3 	4 	5 	5 	4 	3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,RO	2.00 	1.00 	1.00 	1.00 	1.00 	1.00 	1.00 	3.00 	3.00 	2.00 	2.00 	3.00 	2.00 	3.00 	3.00 	: 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,SE	: 	: c	: c	: c	0.00 	0.00 	0.00 	0.00 	: c	: 	: 	: 	: 	: 	: 	0.00 	1.00 	0 n	0 	0 	0 	0 	0 	0 	0 	2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,SI	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	: 	: 	: 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,SK	0.00 	0.00 	0.00 	: 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	0.00 	: 	0.00 	0.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,TR	0.00 	0.00 	0.00 	0.00 	0.00 	1.00 	1.00 	3.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,HAT,UK	: 	: 	1.00 	: 	0.00 	0.00 	1.00 	: c	0.00 	0.00 	0.00 	0.00 	0.00 	: 	1.00 	0.00 	0.00 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 	6 	0 	0 	5 	6 	6 	3 	6 	6 	6 	7 	7 	8 	18 	10 	12 	12 	15 	15 	15 	19 
100001-200000,SHEN,INC,AT	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	4605.74 	: c	: c	2320 	2009 	2386 	4560.2 	7509.9 	7503.3 	8476.4 	9451.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,INC,BA	1752.00 	1895.00 	2370.00 	2207.00 	2125.00 	2390.00 	2173.00 	995.00 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
100001-200000,SHEN,INC,BE	0.00 	0.00 	: c	: c	: c	: c	: c	: c	: c	: c	10298.00 	8138.40 	: 	: 	8197.00 	2434.00 	7039.00 	8212 	: 	: 	7040.4 	14396 	16727 	17327 	18202 	10525 	28418 	18113 	21973 	16342 	16685 	14370 	15073 	8328 	9527 	9933 	10526 	13271 	16500 	26562 	27581 	28281 	32793 	32813 	29645 	28960 	22325 	29726 
