currency,prod_veg,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR,01200000,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13.39 	8.81 	11.93 	13.26 
EUR,01200000,SE	12.76 	17.60 	12.84 	12.44 	12.12 	13.54 	15.72 	20.22 	18.38 	13.00 	7.63 	14.56 	20.25 	11.11 	9.73 	9.50 	10.01 	9.67 	10.21 	10.78 
EUR,01200000,SI	: c	: c	: c	14.28 	14.98 	16.54 	18.98 	21.96 	19.36 	14.78 	15.98 	16.58 	19.34 	10.78 	9.25 	12.27 	13.12 	13.49 	12.57 	11.75 
EUR,01200000,SK	14.13 	14.18 	13.70 	11.53 	13.05 	13.24 	15.46 	18.73 	17.07 	12.45 	10.47 	14.87 	17.32 	9.72 	7.31 	9.07 	9.62 	9.18 	9.28 	8.76 
EUR,01300000,BE	14.12 	17.76 	13.22 	11.82 	14.23 	13.9 	17.32 	21.61 	17.35 	14.74 	8.64 	13.21 	17.96 	10.94 	9.37 	9.20 	10.65 	8.84 	9.77 	10.34 
EUR,01300000,BG	14.74 	14.96 	13.71 	14.07 	15.50 	15.33 	17.09 	19.33 	16.02 	10.05 	10.55 	14.57 	12.33 	8.42 	8.02 	9.59 	9.19 	7.57 	9.32 	8.63 
EUR,01300000,CY	19.06 	18.90 	17.32 	29.70 	18.60 	23.00 	23.60 	24.40 	23.30 	13.30 	14 	23.5 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01300000,CZ	17.41 	15.32 	14.51 	14.91 	16.61 	19.39 	20.82 	20.04 	18.03 	12.33 	11.33 	20.43 	14.17 	10.08 	9.39 	11.46 	11.12 	13.08 	11.65 	9.17 
EUR,01300000,DE	15.69 	16.55 	13.61 	12.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01300000,DK	17.30 	17.20 	14.80 	14.00 	16.16 	15.09 	19.03 	21.29 	19.60 	13.16 	12.62 	19.98 	17.76 	11.22 	10.53 	11.38 	11.68 	11.27 	12.45 	12.57 
EUR,01300000,EE	: 	15.73 	13.56 	12.76 	14.88 	16.5 	16.51 	19.01 	17.20 	12.50 	9.82 	13.70 	15.42 	10.14 	9.14 	10.35 	9.65 	10.03 	10.46 	9.68 
EUR,01300000,EL	16.22 	15.61 	15.83 	16.20 	16.72 	16.14 	19.6 	20.46 	20.45 	16.29 	14.12 	20.95 	22.48 	15.19 	14.03 	15.17 	14.21 	13.68 	14.37 	13.76 
EUR,01300000,ES	17.51 	17.26 	16.51 	15.13 	17.40 	16.74 	18.07 	22.33 	19.48 	15.03 	12.47 	16.97 	18.36 	12.57 	13.28 	12.63 	12.15 	12.15 	12.65 	11.56 
EUR,01300000,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.07 	14.58 	10.20 	9.95 	10.65 	10.56 	10.60 	10.97 	11.94 
EUR,01300000,FR	: 	: 	: 	21.30 	24.40 	24.3 	27.46 	31.69 	20.05 	13.42 	8.99 	14.90 	16.72 	11.06 	9.26 	9.47 	10.60 	9.67 	10.60 	10.77 
EUR,01300000,HR	14.69 	14.90 	13.45 	13.15 	15.73 	16.21 	16.55 	17.64 	20.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01300000,HU	13.57 	13.55 	11.69 	11.79 	13.51 	13.98 	15.68 	18.93 	17.82 	10.64 	9.53 	14.33 	15.07 	9.55 	8.57 	9.53 	10.61 	10.40 	9.45 	11.13 
EUR,01300000,IE	17.64 	22.27 	15.36 	: c	: c	: c	: c	21.23 	18.79 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,01300000,LT	14.66 	17.06 	13.80 	12.83 	14.35 	14.01 	17.78 	20.02 	17.87 	12.92 	9.19 	14.65 	18.23 	10.62 	9.21 	9.92 	10.32 	11.09 	10.30 	10.28 
EUR,01300000,LU	13.32 	15.18 	12.52 	11.30 	14.21 	13.02 	14.7 	20.03 	16.11 	12.53 	7.67 	10.00 	17.10 	10.21 	8.60 	8.53 	9.68 	8.50 	9.79 	10.64 
EUR,01300000,LV	13.94 	16.19 	12.72 	12.16 	13.30 	12.96 	16.23 	19.92 	16.79 	13.11 	8.79 	13.23 	16.7 	9.59 	8.27 	9.25 	8.85 	9.14 	9.28 	10.16 
